Date,Description,Merchant,Category,Amount
2023-06-27,Internet Provider purchase,Internet Provider,Utilities,285.17
2023-11-12,Cash Withdrawal purchase,Cash Withdrawal,Misc,98.36
2023-02-15,Trader Joe's purchase,Trader Joe's,Groceries,105.56
2024-01-14,Health Clinic purchase,Health Clinic,Health,413.85
2023-03-23,Electric Co purchase,Electric Co,Utilities,416.18
2023-11-03,edX purchase,edX,Education,483.83
2024-02-21,Delta purchase,Delta,Travel,332.81
2023-04-27,Udemy purchase,Udemy,Education,80.36
2024-03-14,Amazon purchase,Amazon,Shopping,309.54
2023-01-01,Donation Center purchase,Donation Center,Misc,428.66
2023-12-08,Expedia purchase,Expedia,Travel,265.27
2023-07-24,Gift Shop purchase,Gift Shop,Misc,179.77
2023-09-07,Domino's purchase,Domino's,Dining,253.83
2023-02-11,Water Works purchase,Water Works,Utilities,292.47
2024-03-21,Marriott purchase,Marriott,Travel,478.91
2024-03-31,Gas Supply purchase,Gas Supply,Utilities,373.97
2024-06-17,Expedia purchase,Expedia,Travel,217.4
2023-07-10,Amazon purchase,Amazon,Shopping,100.25
2024-01-17,Walmart purchase,Walmart,Groceries,130.6
2024-03-30,Skillshare purchase,Skillshare,Education,467.82
2024-02-21,Local Store purchase,Local Store,Misc,123.79
2023-07-09,Delta purchase,Delta,Travel,147.78
2023-07-21,Internet Provider purchase,Internet Provider,Utilities,353.62
2023-10-15,Marriott purchase,Marriott,Travel,380.43
2024-04-14,Lyft purchase,Lyft,Transport,252.71
2023-03-02,Uber purchase,Uber,Transport,136.8
2024-04-03,GNC purchase,GNC,Health,441.84
2023-05-22,edX purchase,edX,Education,417.92
2023-11-13,Delta purchase,Delta,Travel,466.75
2023-03-08,Domino's purchase,Domino's,Dining,248.05
2024-05-21,Water Works purchase,Water Works,Utilities,458.31
2023-06-30,Spotify purchase,Spotify,Entertainment,448.19
2023-09-14,Marriott purchase,Marriott,Travel,445.46
2024-06-26,Amazon purchase,Amazon,Shopping,395.79
2023-10-03,Walgreens purchase,Walgreens,Health,111.59
2024-01-12,Uber purchase,Uber,Transport,453.46
2024-04-12,Shell purchase,Shell,Transport,478.77
2023-03-20,Lyft purchase,Lyft,Transport,21.37
2023-12-21,Cash Withdrawal purchase,Cash Withdrawal,Misc,482.33
2023-07-21,Domino's purchase,Domino's,Dining,238.65
2023-11-20,Cash Withdrawal purchase,Cash Withdrawal,Misc,384.4
2023-02-01,Water Works purchase,Water Works,Utilities,74.35
2023-03-09,Internet Provider purchase,Internet Provider,Utilities,103.98
2023-03-19,Cash Withdrawal purchase,Cash Withdrawal,Misc,157.72
2023-09-05,Airbnb purchase,Airbnb,Travel,474.28
2024-03-07,Walgreens purchase,Walgreens,Health,307.12
2023-08-29,edX purchase,edX,Education,126.43
2024-05-22,Lyft purchase,Lyft,Transport,291.74
2024-06-10,Netflix purchase,Netflix,Entertainment,374.7
2024-02-27,CVS Pharmacy purchase,CVS Pharmacy,Health,315.28
2023-04-19,McDonald's purchase,McDonald's,Dining,307.8
2023-06-10,Cash Withdrawal purchase,Cash Withdrawal,Misc,290.37
2024-01-28,Trader Joe's purchase,Trader Joe's,Groceries,122.32
2023-08-07,Trader Joe's purchase,Trader Joe's,Groceries,6.96
2023-12-21,Starbucks purchase,Starbucks,Dining,271.77
2024-01-20,Marriott purchase,Marriott,Travel,150.89
2024-01-05,CVS Pharmacy purchase,CVS Pharmacy,Health,86.38
2023-04-12,Internet Provider purchase,Internet Provider,Utilities,136.82
2023-05-12,eBay purchase,eBay,Shopping,164.58
2023-01-01,Shell purchase,Shell,Transport,418.89
2023-09-15,Whole Foods purchase,Whole Foods,Groceries,138.12
2023-01-07,Delta purchase,Delta,Travel,95.65
2024-01-24,Donation Center purchase,Donation Center,Misc,286.42
2023-09-09,Marriott purchase,Marriott,Travel,23.84
2023-01-10,Airbnb purchase,Airbnb,Travel,116.39
2023-11-24,Marriott purchase,Marriott,Travel,478.41
2024-03-24,Local Store purchase,Local Store,Misc,319.52
2024-01-27,Marriott purchase,Marriott,Travel,148.76
2023-04-17,CVS Pharmacy purchase,CVS Pharmacy,Health,433.42
2023-11-05,ExxonMobil purchase,ExxonMobil,Transport,215.45
2023-11-27,Netflix purchase,Netflix,Entertainment,57.38
2024-06-20,Target purchase,Target,Shopping,499.3
2023-12-01,eBay purchase,eBay,Shopping,455.51
2024-01-11,Gift Shop purchase,Gift Shop,Misc,450.36
2023-09-02,Udemy purchase,Udemy,Education,320.41
2024-03-03,Gas Supply purchase,Gas Supply,Utilities,350.49
2023-09-17,Walgreens purchase,Walgreens,Health,439.82
2024-03-15,Walgreens purchase,Walgreens,Health,45.23
2023-04-01,eBay purchase,eBay,Shopping,142.82
2023-10-24,CVS Pharmacy purchase,CVS Pharmacy,Health,312.29
2023-03-27,edX purchase,edX,Education,251.53
2023-10-19,Spotify purchase,Spotify,Entertainment,115.35
2024-05-03,Walmart purchase,Walmart,Groceries,278.63
2023-11-10,Cash Withdrawal purchase,Cash Withdrawal,Misc,168.29
2023-04-28,Uber purchase,Uber,Transport,448.72
2024-04-12,GNC purchase,GNC,Health,193.76
2023-07-27,Lyft purchase,Lyft,Transport,108.54
2023-09-04,Uber purchase,Uber,Transport,461.15
2023-11-23,Hulu purchase,Hulu,Entertainment,419.88
2024-03-10,Whole Foods purchase,Whole Foods,Groceries,115.0
2023-04-17,Costco purchase,Costco,Groceries,270.81
2024-05-19,Lyft purchase,Lyft,Transport,292.75
2023-04-07,GNC purchase,GNC,Health,474.87
2023-08-25,edX purchase,edX,Education,241.69
2023-08-09,Gas Supply purchase,Gas Supply,Utilities,402.68
2024-01-22,Chipotle purchase,Chipotle,Dining,317.53
2023-09-23,Best Buy purchase,Best Buy,Shopping,240.21
2024-04-22,Delta purchase,Delta,Travel,384.63
2023-12-22,Best Buy purchase,Best Buy,Shopping,378.51
2023-04-07,Cash Withdrawal purchase,Cash Withdrawal,Misc,133.79
2024-06-21,Walmart purchase,Walmart,Groceries,346.6
2023-03-20,Local Store purchase,Local Store,Misc,13.28
2024-01-09,Electric Co purchase,Electric Co,Utilities,177.38
2023-06-19,Health Clinic purchase,Health Clinic,Health,428.36
2023-08-29,CVS Pharmacy purchase,CVS Pharmacy,Health,477.56
2023-12-17,Donation Center purchase,Donation Center,Misc,78.0
2024-06-18,ExxonMobil purchase,ExxonMobil,Transport,465.47
2023-07-25,McDonald's purchase,McDonald's,Dining,474.76
2023-11-09,Electric Co purchase,Electric Co,Utilities,394.28
2023-12-30,Internet Provider purchase,Internet Provider,Utilities,248.95
2023-09-09,edX purchase,edX,Education,143.71
2023-12-16,Local Store purchase,Local Store,Misc,118.12
2024-02-03,Chipotle purchase,Chipotle,Dining,481.87
2023-05-24,Domino's purchase,Domino's,Dining,187.47
2023-09-10,McDonald's purchase,McDonald's,Dining,14.43
2024-04-12,Health Clinic purchase,Health Clinic,Health,68.31
2023-04-03,Best Buy purchase,Best Buy,Shopping,436.02
2023-07-23,Delta purchase,Delta,Travel,206.85
2023-06-28,Spotify purchase,Spotify,Entertainment,437.92
2023-05-04,Starbucks purchase,Starbucks,Dining,379.76
2023-07-30,Target purchase,Target,Shopping,24.09
2024-04-29,McDonald's purchase,McDonald's,Dining,380.2
2023-06-25,Udemy purchase,Udemy,Education,276.51
2023-01-21,Target purchase,Target,Shopping,390.23
2023-11-21,Gift Shop purchase,Gift Shop,Misc,383.78
2023-05-01,Hulu purchase,Hulu,Entertainment,336.72
2024-02-28,GNC purchase,GNC,Health,467.16
2023-11-09,eBay purchase,eBay,Shopping,22.88
2024-03-21,eBay purchase,eBay,Shopping,338.67
2024-05-04,Local Store purchase,Local Store,Misc,27.98
2023-08-09,Lyft purchase,Lyft,Transport,370.45
2023-07-16,Whole Foods purchase,Whole Foods,Groceries,398.5
2024-01-07,Udemy purchase,Udemy,Education,68.51
2023-10-16,Water Works purchase,Water Works,Utilities,307.11
2023-07-26,Electric Co purchase,Electric Co,Utilities,151.88
2023-05-02,Marriott purchase,Marriott,Travel,67.83
2024-06-11,Internet Provider purchase,Internet Provider,Utilities,111.85
2023-10-14,Chipotle purchase,Chipotle,Dining,421.75
2024-04-19,Target purchase,Target,Shopping,343.66
2023-01-15,Whole Foods purchase,Whole Foods,Groceries,254.07
2024-04-12,Skillshare purchase,Skillshare,Education,51.88
2023-10-23,Udemy purchase,Udemy,Education,222.48
2023-12-27,Expedia purchase,Expedia,Travel,170.57
2023-06-17,Domino's purchase,Domino's,Dining,406.8
2023-12-29,Electric Co purchase,Electric Co,Utilities,292.84
2023-12-19,Airbnb purchase,Airbnb,Travel,206.95
2023-03-13,Expedia purchase,Expedia,Travel,355.52
2024-04-24,Domino's purchase,Domino's,Dining,111.72
2024-06-20,Coursera purchase,Coursera,Education,186.41
2023-02-14,Amazon purchase,Amazon,Shopping,12.21
2023-01-07,Coursera purchase,Coursera,Education,423.12
2024-07-04,ExxonMobil purchase,ExxonMobil,Transport,119.15
2023-06-27,Local Store purchase,Local Store,Misc,95.05
2023-12-25,Udemy purchase,Udemy,Education,369.17
2024-03-26,Netflix purchase,Netflix,Entertainment,128.77
2023-02-08,AMC Theatres purchase,AMC Theatres,Entertainment,164.04
2024-05-24,Spotify purchase,Spotify,Entertainment,293.35
2023-06-11,Target purchase,Target,Shopping,313.61
2023-07-06,Water Works purchase,Water Works,Utilities,128.63
2023-04-10,CVS Pharmacy purchase,CVS Pharmacy,Health,278.39
2023-11-07,Airbnb purchase,Airbnb,Travel,174.34
2023-04-23,McDonald's purchase,McDonald's,Dining,494.8
2023-04-16,Lyft purchase,Lyft,Transport,37.57
2023-10-06,Internet Provider purchase,Internet Provider,Utilities,235.44
2024-03-26,Costco purchase,Costco,Groceries,32.65
2023-10-15,Health Clinic purchase,Health Clinic,Health,97.45
2023-09-09,Gas Supply purchase,Gas Supply,Utilities,201.77
2023-07-11,Skillshare purchase,Skillshare,Education,123.86
2024-03-11,Trader Joe's purchase,Trader Joe's,Groceries,199.35
2023-11-15,Gift Shop purchase,Gift Shop,Misc,182.5
2024-03-28,ExxonMobil purchase,ExxonMobil,Transport,273.63
2023-04-15,Cash Withdrawal purchase,Cash Withdrawal,Misc,175.59
2023-08-13,Donation Center purchase,Donation Center,Misc,50.01
2024-05-31,Internet Provider purchase,Internet Provider,Utilities,215.0
2023-07-05,Donation Center purchase,Donation Center,Misc,318.1
2023-12-28,Best Buy purchase,Best Buy,Shopping,411.63
2024-03-08,Chipotle purchase,Chipotle,Dining,56.07
2024-06-29,GNC purchase,GNC,Health,447.03
2024-01-09,Costco purchase,Costco,Groceries,122.42
2024-02-19,ExxonMobil purchase,ExxonMobil,Transport,398.1
2023-10-10,Spotify purchase,Spotify,Entertainment,311.48
2023-10-13,Amazon purchase,Amazon,Shopping,31.9
2023-05-04,Donation Center purchase,Donation Center,Misc,342.96
2023-05-06,Costco purchase,Costco,Groceries,456.57
2023-12-18,AMC Theatres purchase,AMC Theatres,Entertainment,261.37
2024-03-06,Shell purchase,Shell,Transport,471.39
2023-03-21,Trader Joe's purchase,Trader Joe's,Groceries,188.08
2024-01-12,Udemy purchase,Udemy,Education,370.29
2024-06-24,Marriott purchase,Marriott,Travel,163.18
2023-06-07,GNC purchase,GNC,Health,245.16
2023-06-08,Lyft purchase,Lyft,Transport,474.06
2024-06-15,Best Buy purchase,Best Buy,Shopping,279.3
2023-07-01,Delta purchase,Delta,Travel,282.93
2024-01-22,ExxonMobil purchase,ExxonMobil,Transport,88.76
2023-07-04,ExxonMobil purchase,ExxonMobil,Transport,285.14
2024-04-04,Costco purchase,Costco,Groceries,380.97
2023-12-05,Domino's purchase,Domino's,Dining,56.99
2023-12-09,AMC Theatres purchase,AMC Theatres,Entertainment,31.18
2023-06-22,ExxonMobil purchase,ExxonMobil,Transport,377.87
2023-07-17,Expedia purchase,Expedia,Travel,194.33
2023-05-25,ExxonMobil purchase,ExxonMobil,Transport,124.81
2023-03-30,Domino's purchase,Domino's,Dining,20.44
2024-01-21,AMC Theatres purchase,AMC Theatres,Entertainment,487.61
2024-01-07,Walmart purchase,Walmart,Groceries,187.27
2024-02-09,Cash Withdrawal purchase,Cash Withdrawal,Misc,436.43
2023-06-18,GNC purchase,GNC,Health,291.54
2024-05-03,edX purchase,edX,Education,415.83
2024-06-12,Costco purchase,Costco,Groceries,352.0
2023-12-08,Costco purchase,Costco,Groceries,497.45
2023-10-13,Starbucks purchase,Starbucks,Dining,385.87
2023-07-24,CVS Pharmacy purchase,CVS Pharmacy,Health,336.9
2023-08-28,Donation Center purchase,Donation Center,Misc,425.52
2023-08-30,Shell purchase,Shell,Transport,283.48
2023-10-24,Netflix purchase,Netflix,Entertainment,5.09
2023-03-22,Amazon purchase,Amazon,Shopping,17.49
2023-07-08,Udemy purchase,Udemy,Education,166.14
2023-01-01,Skillshare purchase,Skillshare,Education,56.12
2024-03-08,Amazon purchase,Amazon,Shopping,29.01
2023-03-26,Electric Co purchase,Electric Co,Utilities,213.31
2023-08-13,Donation Center purchase,Donation Center,Misc,216.04
2023-07-15,Whole Foods purchase,Whole Foods,Groceries,346.36
2023-10-22,Udemy purchase,Udemy,Education,89.35
2023-03-21,Donation Center purchase,Donation Center,Misc,153.1
2024-01-17,Costco purchase,Costco,Groceries,216.24
2023-09-15,eBay purchase,eBay,Shopping,281.59
2024-02-07,Cash Withdrawal purchase,Cash Withdrawal,Misc,263.68
2023-02-14,Gas Supply purchase,Gas Supply,Utilities,315.6
2023-06-11,AMC Theatres purchase,AMC Theatres,Entertainment,41.82
2024-01-04,Whole Foods purchase,Whole Foods,Groceries,123.12
2023-01-30,Hulu purchase,Hulu,Entertainment,392.16
2023-11-17,AMC Theatres purchase,AMC Theatres,Entertainment,90.94
2023-12-31,Airbnb purchase,Airbnb,Travel,354.9
2024-06-21,Cash Withdrawal purchase,Cash Withdrawal,Misc,404.74
2024-04-05,Netflix purchase,Netflix,Entertainment,329.56
2024-05-10,Uber purchase,Uber,Transport,207.09
2023-10-16,Chipotle purchase,Chipotle,Dining,293.16
2023-01-01,Lyft purchase,Lyft,Transport,31.16
2023-07-09,eBay purchase,eBay,Shopping,177.6
2023-08-11,Chipotle purchase,Chipotle,Dining,173.3
2023-07-08,Whole Foods purchase,Whole Foods,Groceries,212.78
2023-02-16,Donation Center purchase,Donation Center,Misc,111.99
2023-02-23,Trader Joe's purchase,Trader Joe's,Groceries,312.27
2024-02-11,Best Buy purchase,Best Buy,Shopping,179.42
2023-04-08,Electric Co purchase,Electric Co,Utilities,11.06
2024-06-26,CVS Pharmacy purchase,CVS Pharmacy,Health,184.92
2023-04-04,CVS Pharmacy purchase,CVS Pharmacy,Health,274.47
2024-02-29,Airbnb purchase,Airbnb,Travel,369.16
2024-05-09,Marriott purchase,Marriott,Travel,95.43
2023-07-07,Uber purchase,Uber,Transport,85.63
2024-03-26,Whole Foods purchase,Whole Foods,Groceries,153.5
2024-02-08,Walgreens purchase,Walgreens,Health,123.95
2023-08-21,McDonald's purchase,McDonald's,Dining,137.85
2023-02-21,Costco purchase,Costco,Groceries,422.97
2024-04-15,Walmart purchase,Walmart,Groceries,272.13
2023-03-02,Electric Co purchase,Electric Co,Utilities,216.62
2023-05-01,Internet Provider purchase,Internet Provider,Utilities,17.33
2023-04-17,AMC Theatres purchase,AMC Theatres,Entertainment,422.56
2024-06-09,Trader Joe's purchase,Trader Joe's,Groceries,276.74
2023-02-17,Uber purchase,Uber,Transport,374.95
2023-09-29,ExxonMobil purchase,ExxonMobil,Transport,268.72
2023-03-19,Marriott purchase,Marriott,Travel,50.08
2023-01-28,Local Store purchase,Local Store,Misc,343.71
2024-05-05,Trader Joe's purchase,Trader Joe's,Groceries,92.81
2023-11-26,Marriott purchase,Marriott,Travel,348.93
2024-03-14,Health Clinic purchase,Health Clinic,Health,185.74
2024-01-04,ExxonMobil purchase,ExxonMobil,Transport,426.14
2023-02-16,Domino's purchase,Domino's,Dining,124.22
2024-03-21,Spotify purchase,Spotify,Entertainment,195.55
2023-04-17,Local Store purchase,Local Store,Misc,286.27
2024-03-04,Best Buy purchase,Best Buy,Shopping,335.88
2023-07-05,Lyft purchase,Lyft,Transport,298.95
2024-04-15,CVS Pharmacy purchase,CVS Pharmacy,Health,373.27
2024-07-01,Chipotle purchase,Chipotle,Dining,418.82
2023-02-17,Udemy purchase,Udemy,Education,75.02
2024-05-26,Whole Foods purchase,Whole Foods,Groceries,307.07
2024-01-19,eBay purchase,eBay,Shopping,176.51
2023-04-19,Coursera purchase,Coursera,Education,363.16
2023-01-12,Skillshare purchase,Skillshare,Education,350.1
2024-06-16,Coursera purchase,Coursera,Education,15.61
2023-05-07,eBay purchase,eBay,Shopping,472.17
2023-09-27,edX purchase,edX,Education,348.32
2023-03-22,Domino's purchase,Domino's,Dining,150.47
2023-02-08,Airbnb purchase,Airbnb,Travel,480.91
2023-01-30,Starbucks purchase,Starbucks,Dining,380.68
2023-09-09,Electric Co purchase,Electric Co,Utilities,56.49
2023-12-28,Starbucks purchase,Starbucks,Dining,119.21
2023-07-08,CVS Pharmacy purchase,CVS Pharmacy,Health,58.94
2023-09-19,Expedia purchase,Expedia,Travel,295.78
2023-02-03,Cash Withdrawal purchase,Cash Withdrawal,Misc,173.78
2023-06-15,Starbucks purchase,Starbucks,Dining,134.17
2024-03-01,Target purchase,Target,Shopping,438.05
2023-07-07,Target purchase,Target,Shopping,241.41
2023-10-25,Target purchase,Target,Shopping,459.85
2023-09-12,AMC Theatres purchase,AMC Theatres,Entertainment,141.88
2023-08-19,Expedia purchase,Expedia,Travel,240.14
2023-08-11,AMC Theatres purchase,AMC Theatres,Entertainment,158.57
2024-06-15,Walmart purchase,Walmart,Groceries,428.03
2023-01-02,Internet Provider purchase,Internet Provider,Utilities,322.24
2023-02-11,AMC Theatres purchase,AMC Theatres,Entertainment,103.73
2023-10-10,Coursera purchase,Coursera,Education,139.08
2023-06-29,Lyft purchase,Lyft,Transport,21.14
2023-06-27,ExxonMobil purchase,ExxonMobil,Transport,453.41
2023-01-03,Udemy purchase,Udemy,Education,413.18
2023-10-06,AMC Theatres purchase,AMC Theatres,Entertainment,222.7
2023-06-07,ExxonMobil purchase,ExxonMobil,Transport,20.98
2023-11-15,Internet Provider purchase,Internet Provider,Utilities,224.28
2023-11-24,Gas Supply purchase,Gas Supply,Utilities,116.98
2023-09-09,Gas Supply purchase,Gas Supply,Utilities,485.28
2024-06-15,Water Works purchase,Water Works,Utilities,332.57
2023-02-22,Marriott purchase,Marriott,Travel,75.44
2023-12-19,Internet Provider purchase,Internet Provider,Utilities,133.21
2023-10-12,Gas Supply purchase,Gas Supply,Utilities,343.94
2023-01-08,Local Store purchase,Local Store,Misc,145.65
2023-04-21,Marriott purchase,Marriott,Travel,158.27
2023-02-22,Spotify purchase,Spotify,Entertainment,478.24
2023-07-20,Target purchase,Target,Shopping,108.61
2023-07-09,Expedia purchase,Expedia,Travel,137.85
2023-05-10,Skillshare purchase,Skillshare,Education,270.23
2023-04-24,Netflix purchase,Netflix,Entertainment,165.29
2023-03-09,Walmart purchase,Walmart,Groceries,77.23
2023-09-27,Netflix purchase,Netflix,Entertainment,179.6
2023-12-25,Amazon purchase,Amazon,Shopping,191.35
2023-05-14,Health Clinic purchase,Health Clinic,Health,53.5
2023-10-28,McDonald's purchase,McDonald's,Dining,247.24
2023-09-20,Spotify purchase,Spotify,Entertainment,185.14
2024-05-11,Expedia purchase,Expedia,Travel,239.25
2024-03-12,Marriott purchase,Marriott,Travel,489.08
2023-11-01,Gas Supply purchase,Gas Supply,Utilities,261.7
2023-08-12,Spotify purchase,Spotify,Entertainment,457.51
2024-05-11,Whole Foods purchase,Whole Foods,Groceries,230.24
2023-04-25,Airbnb purchase,Airbnb,Travel,298.58
2023-10-31,Lyft purchase,Lyft,Transport,175.34
2024-02-06,ExxonMobil purchase,ExxonMobil,Transport,344.47
2023-11-25,Lyft purchase,Lyft,Transport,64.02
2023-07-09,Spotify purchase,Spotify,Entertainment,231.35
2024-05-18,Donation Center purchase,Donation Center,Misc,418.22
2023-05-22,Shell purchase,Shell,Transport,180.87
2024-01-19,Walmart purchase,Walmart,Groceries,160.14
2024-05-01,Starbucks purchase,Starbucks,Dining,424.41
2023-10-31,Target purchase,Target,Shopping,368.77
2023-10-15,AMC Theatres purchase,AMC Theatres,Entertainment,427.96
2024-01-22,Lyft purchase,Lyft,Transport,301.9
2023-01-18,Delta purchase,Delta,Travel,189.5
2024-02-18,Gas Supply purchase,Gas Supply,Utilities,144.71
2024-04-27,Hulu purchase,Hulu,Entertainment,374.61
2024-03-08,Electric Co purchase,Electric Co,Utilities,430.43
2023-05-22,Target purchase,Target,Shopping,271.82
2023-09-26,Best Buy purchase,Best Buy,Shopping,70.35
2024-05-21,Airbnb purchase,Airbnb,Travel,323.64
2023-08-12,Water Works purchase,Water Works,Utilities,293.53
2023-10-08,Cash Withdrawal purchase,Cash Withdrawal,Misc,236.61
2023-01-06,Starbucks purchase,Starbucks,Dining,490.96
2023-04-20,Water Works purchase,Water Works,Utilities,397.76
2023-05-13,Electric Co purchase,Electric Co,Utilities,451.97
2024-06-08,Walgreens purchase,Walgreens,Health,262.94
2023-12-08,CVS Pharmacy purchase,CVS Pharmacy,Health,201.81
2023-05-04,Udemy purchase,Udemy,Education,475.2
2024-06-29,Chipotle purchase,Chipotle,Dining,266.08
2023-11-18,GNC purchase,GNC,Health,138.16
2024-01-21,Health Clinic purchase,Health Clinic,Health,336.65
2023-11-30,Local Store purchase,Local Store,Misc,108.32
2023-03-17,Gas Supply purchase,Gas Supply,Utilities,376.64
2023-11-02,Marriott purchase,Marriott,Travel,395.05
2023-04-19,Local Store purchase,Local Store,Misc,321.54
2023-05-16,Best Buy purchase,Best Buy,Shopping,220.08
2023-04-14,Skillshare purchase,Skillshare,Education,173.81
2023-04-30,Spotify purchase,Spotify,Entertainment,334.57
2023-08-29,Amazon purchase,Amazon,Shopping,72.1
2023-02-04,Uber purchase,Uber,Transport,494.03
2023-11-29,edX purchase,edX,Education,465.64
2023-03-17,Whole Foods purchase,Whole Foods,Groceries,460.35
2023-10-21,Walgreens purchase,Walgreens,Health,277.24
2023-07-28,Marriott purchase,Marriott,Travel,207.41
2023-02-12,Hulu purchase,Hulu,Entertainment,460.16
2024-05-22,Target purchase,Target,Shopping,474.91
2023-04-01,Local Store purchase,Local Store,Misc,430.19
2024-06-18,Cash Withdrawal purchase,Cash Withdrawal,Misc,475.17
2023-08-24,Electric Co purchase,Electric Co,Utilities,113.16
2023-02-18,Spotify purchase,Spotify,Entertainment,131.25
2024-03-09,Gas Supply purchase,Gas Supply,Utilities,197.16
2023-06-27,Spotify purchase,Spotify,Entertainment,226.07
2023-12-01,Airbnb purchase,Airbnb,Travel,321.74
2024-02-16,Trader Joe's purchase,Trader Joe's,Groceries,190.6
2024-02-09,Trader Joe's purchase,Trader Joe's,Groceries,36.76
2023-10-09,Health Clinic purchase,Health Clinic,Health,335.1
2024-01-06,Hulu purchase,Hulu,Entertainment,425.7
2023-04-12,Whole Foods purchase,Whole Foods,Groceries,115.24
2023-06-07,Coursera purchase,Coursera,Education,307.27
2024-06-15,Coursera purchase,Coursera,Education,69.09
2023-05-07,Starbucks purchase,Starbucks,Dining,458.45
2023-08-21,Gift Shop purchase,Gift Shop,Misc,494.27
2023-09-09,eBay purchase,eBay,Shopping,266.61
2023-12-09,edX purchase,edX,Education,247.17
2023-12-27,Shell purchase,Shell,Transport,76.48
2024-06-26,Internet Provider purchase,Internet Provider,Utilities,26.47
2023-08-23,Airbnb purchase,Airbnb,Travel,164.3
2023-12-17,Expedia purchase,Expedia,Travel,466.34
2023-05-15,Walmart purchase,Walmart,Groceries,102.33
2024-05-07,Gift Shop purchase,Gift Shop,Misc,274.0
2023-02-02,Best Buy purchase,Best Buy,Shopping,149.07
2024-02-05,Trader Joe's purchase,Trader Joe's,Groceries,295.05
2023-09-13,Cash Withdrawal purchase,Cash Withdrawal,Misc,219.22
2024-01-30,Amazon purchase,Amazon,Shopping,97.93
2023-04-09,Internet Provider purchase,Internet Provider,Utilities,179.02
2024-06-09,McDonald's purchase,McDonald's,Dining,107.02
2024-05-09,Target purchase,Target,Shopping,287.8
2023-07-12,Expedia purchase,Expedia,Travel,351.27
2024-03-25,Cash Withdrawal purchase,Cash Withdrawal,Misc,227.22
2023-06-14,Best Buy purchase,Best Buy,Shopping,171.48
2023-04-12,Coursera purchase,Coursera,Education,283.4
2023-09-21,edX purchase,edX,Education,67.45
2023-05-04,Netflix purchase,Netflix,Entertainment,138.68
2024-02-21,Expedia purchase,Expedia,Travel,453.99
2023-02-19,Airbnb purchase,Airbnb,Travel,157.36
2023-04-02,Airbnb purchase,Airbnb,Travel,310.02
2023-11-22,Expedia purchase,Expedia,Travel,64.03
2023-09-18,Shell purchase,Shell,Transport,156.89
2024-03-05,eBay purchase,eBay,Shopping,389.78
2023-06-12,Airbnb purchase,Airbnb,Travel,91.21
2024-03-23,Trader Joe's purchase,Trader Joe's,Groceries,25.92
2023-08-26,Shell purchase,Shell,Transport,112.79
2023-11-12,Local Store purchase,Local Store,Misc,132.26
2023-12-28,Gas Supply purchase,Gas Supply,Utilities,379.33
2023-05-07,Target purchase,Target,Shopping,321.8
2023-08-18,Coursera purchase,Coursera,Education,83.78
2023-04-03,Starbucks purchase,Starbucks,Dining,168.73
2023-06-04,Lyft purchase,Lyft,Transport,27.48
2023-05-04,CVS Pharmacy purchase,CVS Pharmacy,Health,366.02
2023-11-06,Gas Supply purchase,Gas Supply,Utilities,292.32
2023-11-04,Airbnb purchase,Airbnb,Travel,419.57
2024-04-03,Cash Withdrawal purchase,Cash Withdrawal,Misc,125.19
2024-05-03,Chipotle purchase,Chipotle,Dining,287.32
2023-03-28,Health Clinic purchase,Health Clinic,Health,421.35
2023-08-05,Lyft purchase,Lyft,Transport,139.3
2024-01-09,Marriott purchase,Marriott,Travel,448.74
2023-12-11,Starbucks purchase,Starbucks,Dining,359.32
2023-12-06,Local Store purchase,Local Store,Misc,476.84
2024-03-10,Uber purchase,Uber,Transport,371.39
2023-06-28,Expedia purchase,Expedia,Travel,388.08
2023-03-29,Starbucks purchase,Starbucks,Dining,19.42
2023-11-21,AMC Theatres purchase,AMC Theatres,Entertainment,210.3
2023-04-14,Udemy purchase,Udemy,Education,495.07
2024-03-17,Walgreens purchase,Walgreens,Health,269.87
2024-02-07,Udemy purchase,Udemy,Education,124.76
2024-04-21,Starbucks purchase,Starbucks,Dining,162.7
2023-05-29,ExxonMobil purchase,ExxonMobil,Transport,50.68
2023-08-03,Electric Co purchase,Electric Co,Utilities,448.63
2023-12-16,McDonald's purchase,McDonald's,Dining,254.54
2024-02-15,Cash Withdrawal purchase,Cash Withdrawal,Misc,137.63
2023-01-22,Health Clinic purchase,Health Clinic,Health,128.39
2023-11-28,Coursera purchase,Coursera,Education,91.23
2023-07-25,Spotify purchase,Spotify,Entertainment,270.61
2024-06-06,Target purchase,Target,Shopping,378.13
2023-03-03,Shell purchase,Shell,Transport,51.3
2023-02-09,Walgreens purchase,Walgreens,Health,156.34
2023-01-21,Cash Withdrawal purchase,Cash Withdrawal,Misc,326.29
2023-09-23,Walgreens purchase,Walgreens,Health,344.25
2024-02-06,Whole Foods purchase,Whole Foods,Groceries,182.98
2024-04-05,Target purchase,Target,Shopping,290.22
2023-12-21,McDonald's purchase,McDonald's,Dining,399.44
2023-12-13,Marriott purchase,Marriott,Travel,157.08
2023-06-25,Lyft purchase,Lyft,Transport,204.4
2023-09-13,AMC Theatres purchase,AMC Theatres,Entertainment,119.02
2024-02-18,edX purchase,edX,Education,491.05
2024-06-24,Shell purchase,Shell,Transport,431.47
2023-04-15,Udemy purchase,Udemy,Education,104.61
